date,price_usd,price_eur,volume_24h,market_cap
2024-06-11,67332.03000000,,37116136345.00,
2024-06-10,69512.28000000,,20597699541.00,
2024-06-09,69647.99000000,,13534028500.00,
2024-06-08,69305.77000000,,14262185861.00,
2024-06-07,69342.59000000,,36188381096.00,
2024-06-06,70757.16000000,,25223152007.00,
2024-06-05,71082.82000000,,32810771409.00,
2024-06-04,70567.77000000,,33149696545.00,
2024-06-03,68804.78000000,,32401285324.00,
2024-06-02,67751.60000000,,17110588415.00,
2024-06-01,67706.94000000,,11641495604.00,
2024-05-31,67491.41000000,,27387283769.00,
2024-05-30,68364.99000000,,29509712534.00,
2024-05-29,67578.09000000,,26707072906.00,
2024-05-28,68296.22000000,,32722265965.00,
2024-05-27,69394.55000000,,25870990717.00,
2024-05-26,68518.09000000,,15628433737.00,
2024-05-25,69265.95000000,,15473071741.00,
2024-05-24,68526.10000000,,29197308153.00,
2024-05-23,67929.56000000,,41895680979.00,
2024-05-22,69122.34000000,,32802561717.00,
2024-05-21,70136.53000000,,46932005990.00,
2024-05-20,71448.20000000,,43850655717.00,
2024-05-19,66278.37000000,,19249094538.00,
2024-05-18,66940.80000000,,16712277406.00,
2024-05-17,67051.88000000,,28031279310.00,
2024-05-16,65231.58000000,,31573077994.00,
2024-05-15,66267.49000000,,39815167074.00,
2024-05-14,61552.79000000,,28186271527.00,
2024-05-13,62901.45000000,,27889181179.00,
2024-05-12,61448.39000000,,13800459405.00,
2024-05-11,60793.71000000,,13842272968.00,
2024-05-10,60792.78000000,,27804954694.00,
2024-05-09,63049.96000000,,25453338161.00,
2024-05-08,61187.94000000,,26088172222.00,
2024-05-07,62334.82000000,,25930730982.00,
2024-05-06,63161.95000000,,28697928697.00,
2024-05-05,64031.13000000,,18296164805.00,
2024-05-04,63891.47000000,,20620477992.00,
2024-05-03,62889.84000000,,33172023048.00,
2024-05-02,59123.43000000,,32711813559.00,
2024-05-01,58254.01000000,,48439780271.00,
2024-04-30,60636.86000000,,37840840057.00,
2024-04-29,63841.12000000,,26635912073.00,
2024-04-28,63113.23000000,,17334827993.00,
2024-04-27,63419.14000000,,19530783039.00,
2024-04-26,63755.32000000,,24139372950.00,
2024-04-25,64481.71000000,,32155786816.00,
2024-04-24,64276.90000000,,30276655120.00,
2024-04-23,66407.27000000,,24310975583.00,
2024-04-22,66837.68000000,,28282686673.00,
2024-04-21,64926.64000000,,20506644853.00,
2024-04-20,64994.44000000,,23097485495.00,
2024-04-19,63843.57000000,,49920425401.00,
2024-04-18,63512.75000000,,36006307335.00,
2024-04-17,61276.69000000,,41915247049.00,
2024-04-16,63811.86000000,,42847528078.00,
